Row Labels,RUTA 101,RUTA RUTA 10202,RUTA RUTA 10303,RUTA RUTA 10404,RUTA RUTA 10505,RUTA RUTA 10606,RUTA RUTA 10707,RUTA RUTA 10808,RUTA RUTA RUTA 1090909,RUTA RUTA 110RUTA 1100,RUTA RUTA 111RUTA 111RUTA 111,RUTA RUTA 112RUTA 1122,RUTA RUTA 113RUTA 1133,RUTA RUTA 114RUTA 1144,RUTA RUTA 115RUTA 1155,RUTA RUTA 116RUTA 1166,RUTA RUTA 117RUTA 1177,RUTA RUTA 118RUTA 1188,RUTA RUTA 119RUTA 1199,RUTA RUTA 12020,RUTA RUTA 12323,RUTA RUTA 12525,RUTA RUTA 13333,RUTA RUTA 15454,RUTA RUTA 15858,RUTA RUTA 15959,RUTA RUTA 16464,RUTA RUTA 16565,RUTA RUTA 16767,RUTA RUTA 16868,RUTA RUTA 17070,RUTA RUTA 17272,RUTA RUTA 17575,RUTA RUTA 19595,RUTA 2RUTA 2100,RUTA 26RUTA 261-MR4-MR4,RUTA 262,RUTA 266,RUTA 6,RUTA LOS VANEGAS
COLONIA MIGUEL BONILLA,,,,,,RUTA 106,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
COLONIA NICARAO,,,,RUTA 104,,,,,,,,,,,,,,,RUTA 119,,RUTA 123,,,,,RUTA 159,,,,,,,,,,,,,,
COLONIA PEDRO JOAQUIN CHAMORRO,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,RUTA 165,,,,,,,,,,,,
COLONIA RAFAELA HERRERA,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLONIA TENDERI,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLONIA VILLA AUSTRIA,,,,,,,,,,,,,,,,,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
COLONIA VILLA VENEZUELA,,,,,,,,,,,,,,,,RUTA 116,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
CONTRALORIA,,,RUTA 103,,,,,,,,,RUTA 112,,RUTA 114,,,,RUTA 118,,,,RUTA 125,,,,,,,,,,,,,,,,,RUTA 6,
COOPERATIVA PARRALES VALLEJOS FRENTE HOTEL ESTRELLA,,,,RUTA 104,,,,,,,,,,,,RUTA 116,,,,,,,,,,,,,,,,,,,,,,,,
COSTADO ESTE EDIFICIO PETRONIC,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 164,,,,,,,,,,,,,
COSTADO ESTE ESTADIO NACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 164,,,,,,,,,,,,,
COSTADO OESTE HOSPITAL BAUTISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 195,,,,,,
CRUCE EL RECREO,,,,,,,,,,,,,,,,,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
CRUCE LAS AMERICAS TRES,,,,,,,,,,,,,,,,,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
CRUCE VILLA PROGRESO,,,,,,,,,,,,,,,,RUTA 116,,,,,,,,,,,,,,,,,,,,,,,,
CRUZ LORENA,,,,,RUTA 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDF CINE GONZALEZ MONUMENTO AL GUERRILLERO,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 159,,,,,,,,,,,,,,
DEL ARBOLITO DOS CUADRAS AL LAGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
DONDE FUE CINE CABRERA HOY PARE DE SUFRIR,,,,,,,,,,,,,,,,,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
DONDE FUE LA PEPSI,,,,,,,,,,,,,,,,,,,,,RUTA 123,,,,,,,,,,RUTA 170,,,,,,,RUTA 266,,
DUYA MAGICA,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 164,RUTA 165,,,,,,,,,,,,
EDIFICIO ARMANDO GUIDO,RUTA 101,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,RUTA 170,,,,,,,RUTA 266,,
EDIFICIO NACIONES UNIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 195,,,,,,
EL ARBOLITO,RUTA 101,,,,,,,,,,,,,,,,,,,,RUTA 123,,,,,RUTA 159,,,,,,,,,,,,,,
EL CALVARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
EL CEIBO SAN JUDAS,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CHILAMATE SAN JUDAS,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CIEBO SAN JUDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
EL DORADO,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 159,,,,,,,,,,,,,,
EL MANANTIAL SAN JUDAS,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL MERCADITO SAN JUDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
EL MERCADO CIUDAD SANDINO,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,RUTA 172,,,,,,,,
EL NANCITE SAN JUDAS,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL NOVILLO,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,,,,,,,,,
EL NOVILLO MERCADO ORIENTAL,,,,,,,,,,,,,,,,,,,,,,RUTA 125,,,,,,,,,,,,,,,RUTA 262,,,
EL NUEVO DIARIO,RUTA 101,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,RUTA 170,,,,,,,RUTA 266,,
EL ZUMEN,,,,,,,RUTA 107,,,,,RUTA 112,,,,,,,,RUTA 120,,,,,,,,,,,,,,,,,,,,
EMBAJADA COSTA RICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
EMBAJADA USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 172,,,,,,,,
EMPALME CUESTA EL PLOMO,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,RUTA 172,,,,,,,,
EMPLAME CUESTA EL PLOMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 210,,,,,
ENABAS,,,,,,,,,,,,RUTA 112,,,,,,,,,,,,,,RUTA 159,,,,,,,,,,,,,,
ENEL CENTRAL,,,RUTA 103,,RUTA 105,,,,,,,,,RUTA 114,,,RUTA 117,,RUTA 119,,,,,,,,,,,,,,,RUTA 195,RUTA 210,,,,,
ENEL RUBENIA,,,RUTA 103,,,,,,,,,,,,,,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
ENITEL,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
ENTRADA A LAS COLINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA LOS VANEGAS
